"UniprotID","EntrezGeneSymbol","TargetFullName","ACME_fdr","ACME_est","ACME_ci_low","ACME_ci_up","ACME_p","ADE_est","ADE_p","prop_med","prop_ci_low","prop_ci_up","total_effect","total_effect_p"
"Q9UBQ0","VPS29","Vacuolar protein sorting-associated protein 29",0.685225806451613,-0.0026121726883609,-0.00955122501386643,0.00464613291072629,0.494,-0.0991239275939434,0,0.0256759663591632,-0.0459910567165656,0.096718281456476,-0.101736100282304,0
"P40306","PSMB10","Proteasome subunit beta type-10",0.688,-0.000944048949813288,-0.00400368481432687,0.00203614614089137,0.512,-0.0341122541253775,0,0.0269295067363047,-0.0610682694613239,0.128629821154422,-0.0350563030751908,0
"Q9HBM1","SPC25","Kinetochore protein Spc25",0.697555555555555,0.00150987957599185,-0.00306137214711115,0.00739520823416687,0.548,0.366332876718538,0,0.00410468753334075,-0.00812834358204985,0.0200410498309765,0.367842756294529,0
"Q9BUN1","MENT","Protein MENT",0.697555555555555,0.0015713669559404,-0.00439680619558576,0.0087589766952259,0.584,0.0784473080231868,0,0.019637502824813,-0.0547799258442257,0.120663580670974,0.0800186749791272,0
"Q9Y3A3","MOB4","MOB-like protein phocein",0.697555555555555,-0.000646733832336317,-0.00362817678899157,0.00180000872224857,0.57,-0.0404201912939162,0,0.0157482896600623,-0.0454622218576659,0.0879407909345204,-0.0410669251262525,0
"Q16659","MAPK6","Mitogen-activated protein kinase 6",0.697555555555555,0.000999597731382801,-0.00272814144880301,0.00516737146317583,0.564,-0.0378247888482544,0,-0.0271444003701268,-0.150573075026819,0.0793448605464688,-0.0368251911168716,0
"Q6UXK5","LRRN1","Leucine-rich repeat neuronal protein 1:Cytoplasmic domain",0.732162162162162,0.00080260677196742,-0.00264891450410603,0.00506009203660799,0.63,0.108305341931966,0,0.00735607974947185,-0.025414417375796,0.0485648546629456,0.109107948703934,0
"O43175","PHGDH","D-3-phosphoglycerate dehydrogenase",0.796051282051282,0.000774446150305112,-0.00305852031413013,0.00441368292055673,0.722,-0.0961317434398145,0,-0.00812151950944935,-0.0460997902416278,0.0330252778427762,-0.0953572972895094,0
"Q96BN8","OTULIN","Ubiquitin thioesterase otulin",0.796051282051282,-0.000340846419431018,-0.00307885997199106,0.00247461913830889,0.72,0.0448169929864012,0,-0.00766357802418397,-0.0780563798411548,0.0515520460618372,0.0444761465669702,0
"P62306","SNRPF","Small nuclear ribonucleoprotein F",0.8944,-0.00052918122679527,-0.00552941631866454,0.00393758871841692,0.832,-0.0469532263908829,0,0.0111447850550495,-0.0729134397543031,0.216775940585496,-0.0474824076176782,0
"O00744","WNT10B","Protein Wnt-10b",0.958,7.32532299900009e-05,-0.00601516099553217,0.0054307052582468,0.958,-0.0658675883752521,0,-0.00111336682448832,-0.0803970040790118,0.115883071158845,-0.0657943351452621,0
"Q92506","HSD17B8","Estradiol 17-beta-dehydrogenase 8",0.958,-2.72440302475601e-05,-0.00353579364347804,0.00367877195686047,0.958,-0.036686139998675,0,0.000742073523543825,-0.113173516104777,0.107870290703637,-0.0367133840289225,0
"Q99627","COPS8","COP9 signalosome complex subunit 8",0.958,-7.7945237565505e-05,-0.00339129448748816,0.00317617978076291,0.94,-0.0234611745602269,0,0.00331130637997837,-0.150560476223965,0.172407756183273,-0.0235391197977924,0
